Epoch,Train Loss,Val Loss,Test Loss
1,0.6614793319993988,0.5569315174768722,0.5535864991746515
2,0.5418897152621274,0.5304438556376517,0.5197222037714105
3,0.5034074172383757,0.5004616964967333,0.49181173978425524
4,0.47051204170919175,0.48710166601652793,0.4769931363583922
5,0.4394222191268135,0.4342849744375265,0.43048522938288364
6,0.3982664679297235,0.3756728224664773,0.37425030636958806
7,0.36050430313267995,0.3524302862013812,0.34980832176939763
8,0.33404735857730206,0.31360880544006015,0.3118347332424472
9,0.3119685130679121,0.2990213023262755,0.3001300382972461
10,0.2967614803596765,0.28051755060264244,0.28299659213439904
11,0.28490288993531687,0.303463471982652,0.30790785465627624
12,0.2752241534777154,0.2708007136741949,0.278226476918022
13,0.25848152073042135,0.2731900778880994,0.2813693318142936
14,0.24976883837763922,0.25215115041366143,0.25275103575088265
15,0.24484027785320675,0.23512607236431587,0.23745475709333305
16,0.23009628307882696,0.23225537600321686,0.23862435813160676
17,0.23308758074369548,0.2515299282550593,0.25919510411534824
18,0.21916474869201427,0.33343368661572526,0.32325699318412227
19,0.21791511112282308,0.22882822705412426,0.2339096915170333
20,0.20854133303999092,0.20269044841375114,0.2027815632394508
21,0.19943141297687578,0.2179105634694036,0.21849026233409422
22,0.20096177517552782,0.2087815327489634,0.20610001497561387
23,0.19118418213988359,0.19942279374681793,0.20180642893735445
24,0.19078473791621714,0.21641521474987266,0.21217462711786567
25,0.1835675227963117,0.19218953544337902,0.19789562771798222
26,0.1853013055939227,0.17244951953653706,0.17967741801390663
27,0.18042794252593383,0.18503380844768472,0.18971160795956807
28,0.17329614833173893,0.17856954309302495,0.1828033407813097
29,0.1742827094121777,0.18098663370191223,0.1806017552620009
30,0.16823116340591796,0.1805573084834506,0.18101988686868928
