Epoch,Train Loss,Val Loss
1,0.5994327924901787,0.5298186849744524
2,0.48402145456057927,0.4324594253891644
3,0.4173070932415478,0.402603109732764
4,0.3836593027434538,0.35607209336094137
5,0.3632173232759541,0.348433950762617
6,0.3495945812518574,0.33243452802251144
7,0.3387199934028148,0.34008212248237235
8,0.33071368958253455,0.32968002589108625
9,0.3239915555885672,0.32125532506642257
10,0.315961357641802,0.30045204337384646
11,0.3119222582778746,0.31398558952644545
12,0.3066273646365183,0.29077042668420594
13,0.3006558193076932,0.29977203693643695
14,0.2971680963477815,0.28371417824340844
15,0.29266268587363703,0.2787455059482373
16,0.2886080707342696,0.2745505068779798
17,0.2844280450414408,0.2839198813470999
18,0.2809663505452036,0.26730421908716423
19,0.2777434080327099,0.2803362767932638
20,0.2754724496635791,0.26450425602679306
