Epoch,Train Loss,Val Loss,Test Loss
1,0.6881599291200684,0.6188410958180331,0.6092279486234706
2,0.5951748308930723,0.5740379360882389,0.5677304644570778
3,0.5783694446246367,0.5664243971031775,0.5631160674864925
4,0.5489289785111598,0.5738643829695961,0.5743637842868564
5,0.5272199058800359,0.5118075282714828,0.5082436940767717
6,0.5072451133569456,0.48779024644362023,0.4830913875481615
7,0.4871942966377224,0.49556386863066715,0.4889358665771576
8,0.4627394882205276,0.44095323300443334,0.43511304368000436
9,0.42975084621252474,0.4457304349811526,0.43897943154263486
10,0.41014309936955756,0.39348973398118414,0.38999412139021766
11,0.38739282789957874,0.37760001413420274,0.3690001905882173
12,0.36501400849823357,0.3654537442376489,0.35697399423177584
13,0.34951907830038137,0.33920483389986583,0.330044088064603
14,0.335156029487756,0.3582994968576207,0.35194945462414934
15,0.32556644958565967,0.31482098641090256,0.308052948494839
16,0.3129313624217912,0.3049022956185009,0.29879010696788966
17,0.2998953221193548,0.29459559794760015,0.2866284942697461
18,0.29284887264786785,0.29675421941891994,0.28939618378638415
19,0.28671001460781154,0.3060424344442162,0.2990015619381299
20,0.2787508505359653,0.2698115745531093,0.2623281409436815
